Experiment	Date	DAS	N_Treatments	Water_Treatments	Rep	Lamina_N_con	Petiole_N_con	Dead_leaf_N_con	Bulb_N_con	Lamina_DM	Petiole_DM	Bulb_DM	Dead_DM
A	26/03/12	148	0	Yes	4	2.66	1.04	0.82	0.58	1.60	1.22	14.71	0.51
A	26/03/12	148	25	Yes	1	2.70	0.98	0.63	0.56	1.41	0.86	15.94	0.46
A	26/03/12	148	25	Yes	2	2.39	0.96	0.56	0.65	1.95	2.23	19.14	0.85
A	26/03/12	148	25	Yes	3	2.44	1.01	0.80	0.73	1.89	1.45	16.57	0.79
A	26/03/12	148	25	Yes	4	2.45	0.86	0.66	0.66	2.09	2.20	17.14	0.65
A	26/03/12	148	50	Yes	1	2.38	1.03	0.80	0.82	1.51	1.42	13.61	0.67
A	26/03/12	148	50	Yes	2	3.01	1.22	0.65	0.89	1.11	1.23	16.86	0.58
A	26/03/12	148	50	Yes	3	2.64	0.89	0.85	0.74	1.30	0.89	14.10	0.51
A	26/03/12	148	50	Yes	4	3.08	1.17	0.91	0.88	1.36	2.41	15.10	0.38
A	26/03/12	148	100	Yes	1	2.71	1.01	0.60	0.85	1.60	1.50	20.14	0.32
A	26/03/12	148	100	Yes	2	3.15	1.00	0.79	0.92	2.27	2.39	17.42	0.84
A	26/03/12	148	100	Yes	3	2.69	1.06	0.59	0.79	1.96	2.18	16.36	0.44
A	26/03/12	148	100	Yes	4	2.47	1.04	0.81	0.80	3.02	2.77	25.01	0.98
A	26/03/12	148	200	Yes	1	3.08	1.21	1.10	0.85	2.10	2.31	22.73	0.18
A	26/03/12	148	200	Yes	2	2.87	1.19	1.02	0.99	2.02	1.74	14.26	0.60
A	26/03/12	148	200	Yes	3	3.38	1.69	1.30	1.48	2.77	2.34	22.57	0.72
A	26/03/12	148	200	Yes	4	3.63	1.50	1.08	1.13	2.50	2.80	21.75	0.67
A	30/04/12	183	0	Yes	1	2.96	1.39	1.12	0.62	0.82	0.72	18.45	1.07
A	30/04/12	183	0	Yes	2	3.20	1.41	1.07	0.74	0.87	0.74	17.17	1.35
A	30/04/12	183	0	Yes	3	3.64	1.38	0.89	0.76	0.73	0.74	11.78	1.08
A	30/04/12	183	0	Yes	4	2.71	1.06	0.83	0.62	1.46	0.96	23.13	1.17
A	30/04/12	183	25	Yes	1	2.83	1.31	0.85	0.67	1.21	0.90	17.60	1.41
A	30/04/12	183	25	Yes	2	3.45	1.43	0.92	0.70	0.83	0.87	19.04	1.76
A	30/04/12	183	25	Yes	3	2.63	0.98	0.74	0.68	1.24	1.49	16.64	1.07
A	30/04/12	183	25	Yes	4	2.97	1.64	0.86	0.68	1.14	1.28	15.77	1.39
A	30/04/12	183	50	Yes	1	3.39	1.60	0.93	0.74	1.36	1.55	17.84	1.92
A	30/04/12	183	50	Yes	2	3.11	1.37	0.80	0.66	0.99	1.05	21.78	1.58
A	30/04/12	183	50	Yes	3	2.93	1.29	0.86	0.69	1.37	1.75	23.39	1.07
A	30/04/12	183	50	Yes	4	2.32	0.96	0.74	0.73	1.37	1.18	19.59	1.14
A	30/04/12	183	100	Yes	1	3.50	1.67	1.01	0.67	0.79	0.87	24.04	2.98
A	30/04/12	183	100	Yes	2	3.95	1.81	1.11	1.11	1.37	1.58	18.04	1.69
A	30/04/12	183	100	Yes	3	2.82	1.21	0.93	0.87	1.80	1.87	20.23	0.58
A	30/04/12	183	100	Yes	4	3.38	1.44	1.22	0.85	1.81	2.16	21.72	1.74
A	30/04/12	183	200	Yes	1	3.83	2.00	1.03	0.86	1.24	1.77	29.50	1.85
A	30/04/12	183	200	Yes	2	3.56	1.61	1.58	1.31	2.33	1.95	20.10	1.23
A	30/04/12	183	200	Yes	3	3.46	1.44	1.23	0.97	1.81	2.90	24.09	1.06
A	30/04/12	183	200	Yes	4	3.53	1.40	0.99	1.07	1.09	1.52	22.22	1.44
A	6/06/12	220	0	Yes	1	3.43	1.58	0.75	0.52	0.38	0.25	18.96	1.58
A	6/06/12	220	0	Yes	2	3.73	2.40	1.17	0.68	0.35	0.32	16.75	1.84
A	6/06/12	220	0	Yes	3	3.03	1.13	0.76	0.69	0.55	0.54	18.53	0.79
A	6/06/12	220	0	Yes	4	2.86	1.13	0.91	0.62	0.57	0.43	15.37	1.10
A	6/06/12	220	25	Yes	1	3.16	1.31	0.84	0.57	0.79	0.58	19.77	1.30
A	6/06/12	220	25	Yes	2	2.91	1.44	0.68	0.67	0.46	0.62	16.93	1.62
A	6/06/12	220	25	Yes	3	3.10	1.34	0.90	0.78	0.66	0.53	19.58	2.44
A	6/06/12	220	25	Yes	4	3.23	1.66	0.91	0.70	0.67	0.63	18.89	1.68
A	6/06/12	220	50	Yes	1	3.15	1.58	0.93	0.69	0.57	0.58	19.40	1.67
A	6/06/12	220	50	Yes	2	3.44	1.78	0.94	0.58	0.61	0.58	17.12	1.93
A	6/06/12	220	50	Yes	3	2.96	1.22	0.98	0.62	0.67	0.49	21.17	2.03
A	6/06/12	220	50	Yes	4	3.64	1.64	1.25	0.67	0.64	0.77	20.08	2.63
A	6/06/12	220	100	Yes	1	2.97	1.57	1.17	0.68	0.44	0.30	18.63	2.30
A	6/06/12	220	100	Yes	2	3.71	1.55	1.10	0.92	0.45	0.47	22.42	1.67
A	6/06/12	220	100	Yes	3	3.50	1.55	0.95	0.73	0.58	0.51	20.28	1.59
A	6/06/12	220	100	Yes	4	3.85	2.02	1.26	0.77	0.70	0.64	24.08	3.65
A	6/06/12	220	200	Yes	1	3.77	1.96	0.90	0.98	1.07	1.25	23.12	3.00
A	6/06/12	220	200	Yes	2	3.85	1.95	1.19	0.97	1.00	1.52	22.48	2.85
A	6/06/12	220	200	Yes	3	3.52	1.63	1.21	1.15	0.81	1.47	23.04	2.58
A	6/06/12	220	200	Yes	4	4.14	2.32	1.18	1.04	0.47	0.71	20.40	3.10
B	18/12/13	46	0	Yes	1	4.94	3.72	NA	2.76	0.37	0.12	0.10	NA
B	18/12/13	46	0	Yes	2	4.92	3.64	NA	2.79	0.21	0.06	0.02	NA
B	18/12/13	46	0	Yes	3	4.87	3.88	NA	2.78	0.17	0.07	0.03	NA
B	18/12/13	46	50	Yes	1	4.94	3.88	NA	3.24	0.20	0.05	0.04	NA
B	18/12/13	46	50	Yes	2	4.99	3.57	NA	2.88	0.29	0.12	0.05	NA
B	18/12/13	46	50	Yes	3	5.01	4.00	NA	2.92	0.13	0.14	0.02	NA
B	18/12/13	46	100	Yes	1	4.91	3.92	NA	3.41	0.12	0.04	0.01	NA
B	18/12/13	46	100	Yes	2	4.93	3.60	NA	3.04	0.34	0.09	0.08	NA
B	18/12/13	46	100	Yes	3	5.10	4.10	NA	2.73	0.39	0.13	0.09	NA
B	18/12/13	46	200	Yes	1	5.00	3.87	NA	3.14	0.18	0.05	0.03	NA
B	18/12/13	46	200	Yes	2	4.99	4.15	NA	3.00	0.51	0.17	0.12	NA
B	18/12/13	46	200	Yes	3	5.07	3.84	NA	3.07	0.15	0.04	0.09	NA
B	18/12/13	46	0	No	1	4.81	3.69	NA	2.65	0.44	0.15	0.10	NA
B	18/12/13	46	0	No	2	5.03	4.09	NA	2.68	0.12	0.04	0.03	NA
B	18/12/13	46	0	No	3	4.99	4.18	NA	3.06	0.08	0.02	0.01	NA
B	18/12/13	46	50	No	1	5.07	4.20	NA	2.63	0.25	0.07	0.06	NA
B	18/12/13	46	50	No	2	4.91	3.85	NA	2.51	0.25	0.11	0.05	NA
B	18/12/13	46	50	No	3	4.85	3.87	NA	2.44	0.16	0.06	0.02	NA
B	18/12/13	46	100	No	1	4.93	3.35	NA	2.39	0.24	0.07	0.05	NA
B	18/12/13	46	100	No	2	4.93	3.93	NA	2.87	0.15	0.04	0.02	NA
B	18/12/13	46	100	No	3	4.64	5.00	NA	2.62	0.22	0.04	0.06	NA
B	18/12/13	46	200	No	1	4.75	3.90	NA	2.54	0.28	0.07	0.06	NA
B	18/12/13	46	200	No	2	4.93	3.63	NA	2.74	0.21	0.06	0.05	NA
B	18/12/13	46	200	No	3	4.70	4.06	NA	2.46	0.18	0.08	0.03	NA
B	17/01/14	46	0	Yes	1	3.16	2.06	1.55	1.39	0.97	0.80	3.13	0.27
B	17/01/14	76	0	Yes	2	4.07	1.74	1.88	2.45	1.73	1.33	3.41	0.47
B	17/01/14	76	0	Yes	3	3.17	1.49	1.07	1.41	1.25	1.16	3.79	0.08
B	17/01/14	76	50	Yes	1	3.65	1.12	1.54	1.65	1.64	1.40	3.10	0.16
B	17/01/14	76	50	Yes	2	3.11	1.55	0.89	1.31	1.80	1.29	4.93	0.17
B	17/01/14	76	50	Yes	3	4.02	1.74	1.53	1.86	1.84	1.07	1.55	0.14
B	17/01/14	76	100	Yes	1	3.41	1.65	1.62	1.57	1.24	1.04	2.68	0.19
B	17/01/14	76	100	Yes	2	3.64	1.95	1.32	1.83	2.09	1.56	5.15	0.39
B	17/01/14	76	100	Yes	3	4.08	2.40	1.76	1.75	2.00	1.66	4.09	0.60
B	17/01/14	76	200	Yes	1	3.92	2.14	1.51	1.73	1.72	1.66	3.77	0.32
B	17/01/14	76	200	Yes	2	3.57	1.52	1.26	2.02	2.18	1.70	3.58	0.13
B	17/01/14	76	200	Yes	3	4.57	1.58	1.56	1.88	0.96	0.94	2.04	0.17
B	17/01/14	76	0	No	1	3.38	2.49	1.66	1.43	1.20	1.15	3.87	0.45
B	17/01/14	76	0	No	2	3.35	2.40	1.97	1.48	1.20	1.08	2.79	0.24
B	17/01/14	76	0	No	3	3.21	2.27	1.52	1.73	0.96	0.31	1.92	0.19
B	17/01/14	76	50	No	1	3.53	1.75	1.50	1.62	1.34	1.26	2.18	0.27
B	17/01/14	76	50	No	2	3.91	1.83	1.34	1.87	1.86	0.94	2.50	0.35
B	17/01/14	76	50	No	3	4.51	2.68	2.57	1.87	1.13	0.91	2.44	0.17
B	17/01/14	76	100	No	1	3.82	2.09	1.78	1.56	1.35	1.08	2.16	0.02
B	17/01/14	76	100	No	2	3.71	1.51	1.33	1.80	1.59	1.06	2.99	0.46
B	17/01/14	76	100	No	3	4.23	2.60	1.66	1.98	0.88	0.82	2.02	0.42
B	17/01/14	76	200	No	1	3.60	2.18	1.58	2.15	1.01	0.95	1.90	0.44
B	17/01/14	76	200	No	2	4.48	2.12	1.54	2.06	1.03	0.87	3.54	0.33
B	17/01/14	76	200	No	3	3.75	1.27	1.45	1.99	1.55	1.29	3.18	0.23
B	18/02/14	108	0	Yes	1	3.24	1.44	1.32	0.67	1.20	0.80	10.60	0.49
B	18/02/14	108	0	Yes	2	2.74	1.45	1.54	1.41	2.46	2.19	10.49	1.40
B	18/02/14	108	0	Yes	3	2.97	1.83	1.20	0.77	0.91	0.49	10.91	0.36
B	18/02/14	108	50	Yes	1	2.92	0.99	0.83	0.97	1.96	1.76	12.47	0.19
B	18/02/14	108	50	Yes	2	3.55	1.36	1.11	0.73	1.16	1.34	9.42	0.48
B	18/02/14	108	50	Yes	3	3.69	0.96	0.99	1.11	2.31	2.08	11.65	0.41
B	18/02/14	108	100	Yes	1	3.37	1.11	1.05	0.87	1.60	2.16	11.27	0.29
B	18/02/14	108	100	Yes	2	3.50	1.71	1.16	1.03	2.14	1.81	11.96	0.78
B	18/02/14	108	100	Yes	3	3.18	1.58	1.55	1.32	2.45	2.57	10.09	0.22
B	18/02/14	108	200	Yes	1	4.16	1.73	1.42	1.32	2.17	2.40	9.52	0.32
B	18/02/14	108	200	Yes	2	3.55	1.69	1.01	1.44	2.31	2.06	14.30	0.45
B	18/02/14	108	200	Yes	3	3.65	1.13	0.84	1.30	2.57	2.89	7.19	0.31
B	18/02/14	108	0	No	1	2.93	1.41	1.24	1.13	1.33	0.78	7.82	0.60
B	18/02/14	108	0	No	2	3.04	1.31	1.27	1.16	0.94	0.75	4.83	0.36
B	18/02/14	108	0	No	3	4.40	1.61	1.76	1.29	0.29	0.12	4.14	0.56
B	18/02/14	108	50	No	1	3.06	1.06	1.19	1.26	0.71	0.49	4.30	0.56
B	18/02/14	108	50	No	2	3.76	2.43	1.07	1.52	0.87	0.36	4.38	0.47
B	18/02/14	108	50	No	3	4.87	1.55	1.59	1.43	0.63	0.21	4.85	0.92
B	18/02/14	108	100	No	1	3.87	1.99	1.09	1.43	0.97	0.62	3.74	0.31
B	18/02/14	108	100	No	2	4.10	1.37	1.37	1.74	1.12	0.84	4.97	1.03
B	18/02/14	108	100	No	3	4.18	1.12	1.38	1.84	1.03	0.64	4.77	0.96
B	18/02/14	108	200	No	1	4.70	1.75	1.30	1.73	0.66	0.48	5.54	0.65
B	18/02/14	108	200	No	2	4.22	2.72	1.98	2.05	1.18	0.83	3.95	1.05
B	18/02/14	108	200	No	3	5.30	0.96	0.98	1.90	0.99	0.78	2.84	0.57
B	14/03/14	132	0	Yes	1	3.88	2.03	1.34	0.60	1.13	1.12	14.59	0.92
B	14/03/14	132	0	Yes	2	2.86	1.18	1.36	1.07	2.03	2.43	12.52	0.72
B	14/03/14	132	0	Yes	3	3.26	1.97	1.12	0.70	1.58	2.05	16.88	0.79
B	14/03/14	132	50	Yes	1	3.88	1.17	0.67	0.83	0.86	0.84	16.90	0.44
B	14/03/14	132	50	Yes	2	2.56	2.23	1.09	0.64	0.91	1.15	15.78	0.45
B	14/03/14	132	50	Yes	3	3.96	1.09	0.80	0.97	1.70	2.59	15.61	0.96
B	14/03/14	132	100	Yes	1	2.96	0.97	0.67	0.83	1.85	2.87	17.19	0.83
B	14/03/14	132	100	Yes	2	2.84	2.91	1.30	0.74	1.96	2.14	17.93	0.55
B	14/03/14	132	100	Yes	3	3.67	1.56	1.37	0.97	2.05	2.32	17.25	0.81
B	14/03/14	132	200	Yes	1	3.24	2.62	1.21	1.40	2.18	2.64	14.45	0.82
B	14/03/14	132	200	Yes	2	4.11	1.00	0.74	1.42	2.41	3.37	19.02	0.72
B	14/03/14	132	200	Yes	3	3.26	0.87	0.93	1.04	2.55	2.77	14.20	0.67
B	14/03/14	132	0	No	1	4.43	1.79	1.08	1.56	1.16	0.67	8.95	1.55
B	14/03/14	132	0	No	2	2.89	1.07	0.66	0.88	1.04	0.67	9.06	1.24
B	14/03/14	132	0	No	3	3.84	2.81	1.32	1.35	0.76	0.54	5.93	0.86
B	14/03/14	132	50	No	1	4.63	0.91	0.72	1.46	0.58	0.50	6.82	0.97
B	14/03/14	132	50	No	2	3.84	1.89	1.01	1.37	1.28	0.63	5.72	0.96
B	14/03/14	132	50	No	3	4.01	1.26	0.86	1.54	0.93	0.55	6.18	1.10
B	14/03/14	132	100	No	1	4.66	2.09	1.10	1.55	0.82	0.66	7.46	1.06
B	14/03/14	132	100	No	2	4.21	1.82	0.94	1.82	1.15	0.67	6.28	0.98
B	14/03/14	132	100	No	3	4.65	1.34	1.09	1.90	1.26	0.95	5.22	0.96
B	14/03/14	132	200	No	1	5.20	2.71	1.47	2.21	0.72	0.47	7.33	1.49
B	14/03/14	132	200	No	2	4.66	2.72	1.33	2.21	1.76	1.10	5.97	1.41
B	14/03/14	132	200	No	3	4.67	0.97	0.65	2.19	1.00	0.74	4.25	0.87
B	14/04/14	163	0	Yes	1	3.24	1.90	1.22	0.49	0.79	0.68	14.25	0.55
B	14/04/14	163	0	Yes	2	3.26	1.25	0.80	1.11	2.37	2.37	21.00	1.11
B	14/04/14	163	0	Yes	3	3.10	1.63	1.19	0.67	1.39	1.77	21.95	1.28
B	14/04/14	163	50	Yes	1	3.01	1.28	0.74	0.69	1.51	2.16	23.81	1.16
B	14/04/14	163	50	Yes	2	3.10	1.48	0.84	0.60	1.49	1.44	16.71	0.85
B	14/04/14	163	50	Yes	3	3.02	1.00	0.86	0.75	1.68	2.18	19.48	0.76
B	14/04/14	163	100	Yes	1	3.07	1.05	0.83	1.03	1.87	2.95	20.36	2.26
B	14/04/14	163	100	Yes	2	2.98	2.36	1.33	0.81	1.35	1.78	22.99	1.40
B	14/04/14	163	100	Yes	3	3.22	1.68	1.33	0.75	2.19	2.82	25.24	1.78
B	14/04/14	163	200	Yes	1	3.40	1.65	1.02	0.87	2.43	3.67	21.25	1.43
B	14/04/14	163	200	Yes	2	3.31	1.33	0.67	1.49	2.14	2.97	23.54	1.06
B	14/04/14	163	200	Yes	3	3.11	1.16	0.84	0.87	2.31	2.43	20.91	1.23
B	14/04/14	163	0	No	1	4.16	1.40	0.96	0.95	1.16	0.90	14.15	0.58
B	14/04/14	163	0	No	2	3.38	1.33	1.15	0.76	1.04	0.76	10.17	0.56
B	14/04/14	163	0	No	3	3.09	2.33	1.38	1.04	1.27	0.82	9.12	0.50
B	14/04/14	163	50	No	1	3.78	1.12	0.72	1.11	1.36	0.96	12.00	0.35
B	14/04/14	163	50	No	2	3.42	1.32	0.97	1.23	1.73	1.33	11.48	0.71
B	14/04/14	163	50	No	3	3.37	1.10	0.88	1.10	1.42	0.98	11.17	0.46
B	14/04/14	163	100	No	1	3.67	1.34	0.86	1.24	1.91	1.66	9.24	0.37
B	14/04/14	163	100	No	2	3.68	1.09	0.78	1.07	1.92	1.62	9.62	0.58
B	14/04/14	163	100	No	3	3.81	1.30	0.91	1.55	1.46	1.19	8.28	0.34
B	14/04/14	163	200	No	1	4.24	1.68	1.16	1.72	1.94	1.71	10.46	0.37
B	14/04/14	163	200	No	2	4.13	2.64	1.49	1.83	2.23	1.99	10.04	0.58
B	14/04/14	163	200	No	3	4.70	1.23	0.80	1.77	1.68	1.53	9.12	0.40
B	20/05/14	200	0	Yes	1	3.10	1.81	1.58	0.60	1.33	1.16	16.48	1.57
B	20/05/14	200	0	Yes	2	4.12	1.50	1.13	0.72	0.55	0.50	22.52	1.78
B	20/05/14	200	0	Yes	3	3.41	1.76	1.71	0.67	1.23	1.16	21.42	1.08
B	20/05/14	200	50	Yes	1	3.55	1.34	1.02	0.80	1.19	1.39	20.58	1.72
B	20/05/14	200	50	Yes	2	3.64	1.97	1.17	0.74	1.16	1.15	24.49	1.61
B	20/05/14	200	50	Yes	3	3.80	1.50	1.12	0.88	1.28	1.07	20.86	1.63
B	20/05/14	200	100	Yes	1	3.86	1.77	1.13	0.87	0.95	1.44	26.39	2.48
B	20/05/14	200	100	Yes	2	3.24	3.05	2.06	0.63	1.29	1.94	23.36	1.96
B	20/05/14	200	100	Yes	3	3.89	2.16	1.52	0.81	1.52	2.21	18.12	1.20
B	20/05/14	200	200	Yes	1	3.71	2.12	1.50	1.02	1.30	1.73	22.01	0.68
B	20/05/14	200	200	Yes	2	4.18	2.54	1.46	1.37	1.30	1.95	24.78	1.77
B	20/05/14	200	200	Yes	3	3.60	1.92	1.07	1.06	1.57	2.53	21.99	2.12
B	20/05/14	200	0	No	1	3.70	1.52	1.26	0.99	0.77	0.65	12.74	0.92
B	20/05/14	200	0	No	2	3.92	2.52	1.28	1.05	0.70	0.57	11.95	1.31
B	20/05/14	200	0	No	3	3.38	2.62	1.87	0.95	0.83	0.62	9.02	1.09
B	20/05/14	200	50	No	1	3.51	1.64	0.86	1.04	1.11	1.50	12.03	1.49
B	20/05/14	200	50	No	2	3.16	1.54	1.39	1.87	1.19	0.93	11.01	0.68
B	20/05/14	200	50	No	3	3.83	1.75	1.10	1.27	0.86	0.76	11.67	1.38
B	20/05/14	200	100	No	1	3.55	2.04	1.63	1.14	1.18	1.33	9.33	0.81
B	20/05/14	200	100	No	2	3.92	1.61	0.96	1.13	1.27	1.06	14.07	1.49
B	20/05/14	200	100	No	3	3.89	1.95	1.45	1.39	1.23	1.55	12.51	1.56
B	20/05/14	200	200	No	1	4.38	2.01	1.48	1.98	1.32	1.54	12.40	1.22
B	20/05/14	200	200	No	2	3.88	2.65	1.56	1.77	2.42	2.11	14.45	0.86
B	20/05/14	200	200	No	3	4.02	1.60	1.19	1.71	2.22	1.92	14.23	0.71
